company,ticker,sector,region,date,revenue,gross_profit,operating_income,net_income,assets,liabilities,equity,debt,customers,orders,marketing_spend,cac,arpu,channel,conversion_rate,share_price,market_cap,shares_outstanding
Quantum Dynamics,QDYN,Technology,North America,2020-01-31,26953513.444501955,12463505.586904034,4516747.106365881,2337078.249339338,298192999.95567095,179082044.32174918,119110955.63392177,135034360.108643,454811,2219313,4713263.7588137295,103.63126131104413,59.263022433111104,Partners,0.010109027217742006,102.94604547362405,1022244352.193866,9929904.033620957
Quantum Dynamics,QDYN,Technology,North America,2020-02-29,30260749.819944497,12383454.437745601,6314445.569480956,3914692.8871172015,161188714.8175455,126835814.75953716,34352900.05800834,65496197.211888485,333367,1157964,3249075.4860032364,97.46242087558865,90.77289553976937,Enterprise,0.09293803964068593,795.3828933151448,1127895666.2993743,1418053.7144799796
Quantum Dynamics,QDYN,Technology,North America,2020-03-31,30761181.188575808,13506276.313838966,7748459.021802687,4897380.5792270135,180084187.7208385,98612022.13400292,81472165.58683556,41140369.65628594,66989,136330,4595054.264001088,685.9416119065947,459.1941809354519,Partners,0.06952182242877425,388.6835120163,1116094974.3793538,2871474.965813699
Quantum Dynamics,QDYN,Technology,North America,2020-04-30,33650332.61749193,19513883.52059055,8938531.327566475,6954156.454342752,339562275.03515005,157309145.68426323,182253129.35088682,107791685.41092983,118330,573271,5945343.368087157,502.4375363886721,284.37541701162064,Direct,0.04798886444834542,178.87138048236918,1513008181.3581002,8458637.582367364
Quantum Dynamics,QDYN,Technology,North America,2020-05-31,35762032.317891814,15371245.938594965,10679246.50800774,7813720.930755442,228555497.96513787,69197704.50404474,159357793.46109313,55893111.28194981,97156,380465,5925430.875496754,609.8883111178676,368.0858047314277,Direct,0.13968212299186886,324.02287808641245,2222697543.018138,6859693.2295175
Quantum Dynamics,QDYN,Technology,North America,2020-06-30,36738188.72623314,16097353.436899904,7216883.017665562,5056526.232191426,354944412.1321863,211422246.46614662,143522165.66603968,113610047.90004216,121424,307410,7191750.788506912,592.28412739713,302.55954163146555,Online,0.11650990680636562,262.34685680736567,1587590634.0274026,6051494.778125466
Quantum Dynamics,QDYN,Technology,North America,2020-07-31,37716088.84436668,16714132.59615666,5224364.40962992,3609634.1755722906,271574390.9990629,150529705.16623217,121044685.83283073,128519738.93591872,232554,614298,6160269.522381137,264.8963046166111,162.18150311699372,Enterprise,0.14199949987811733,240.45419307289603,1536451605.6064155,6389789.198396824
Quantum Dynamics,QDYN,Technology,North America,2020-08-31,39356995.06817958,20396899.433472894,6979772.153468544,4445838.261379973,256965089.81253526,130603785.0249221,126361304.78761315,109921386.53626755,200846,298929,4071271.5918087615,202.70613264933138,195.95525945237327,Partners,0.025407269433874745,409.71773927743783,1250219454.7641149,3051416.462877475
Quantum Dynamics,QDYN,Technology,North America,2020-09-30,41199125.760012515,23358437.66894082,9082767.879348435,4867996.73215362,303361778.13608634,234029915.64116216,69331862.49492419,131431543.71436167,145345,554066,4307139.545773808,296.3390240994742,283.45577978451473,Direct,0.04554815795080826,515.5874200106537,1661163150.7227354,3221884.565547411
Quantum Dynamics,QDYN,Technology,North America,2020-10-31,42633705.88334586,34068432.10833171,13856053.98155128,10987635.85493791,335836747.347578,106300849.52166027,229535897.82591772,60861023.21403207,127090,473133,5527041.624433231,434.8919367718334,335.4581051156137,Partners,0.14799106357548408,940.1241325002303,2988182151.8219433,3178497.4436035035
Quantum Dynamics,QDYN,Technology,North America,2020-11-30,42909060.331856385,28016283.74599234,15504544.379075173,10244354.89946421,241665045.99358025,173431221.80563685,68233824.1879434,97189128.02172461,320376,372629,5948652.158932689,185.6772092457827,133.9333296799344,Online,0.04083374665917676,308.47939064474735,2282854160.458738,7400345.791942161
Quantum Dynamics,QDYN,Technology,North America,2020-12-31,47875817.8516624,37161655.33904704,17058270.369755246,11178717.941358726,520121484.3587243,331756918.6281127,188364565.73061162,254659284.57376388,332281,1051932,7390477.967644144,222.41650794490639,144.08222933197118,Online,0.10239776644478506,327.84018292533807,2739104663.366863,8354999.801810943
Quantum Dynamics,QDYN,Technology,North America,2021-01-31,50726542.30802563,27169740.538935456,11946095.576055843,8574748.565157238,572183822.435266,425443397.2638033,146740425.1714627,336073809.7418366,149673,200046,3766156.985958112,251.62567637169775,338.9142407694295,Partners,0.103658355659992,408.1634095912328,2541298691.376884,6226179.592928092
Quantum Dynamics,QDYN,Technology,North America,2021-02-28,55070821.47508115,28282633.115151662,11939387.546044255,7709073.013548686,448219708.839989,357333629.82458484,90886079.01540416,174365456.4883355,947309,2818788,4230728.09803678,44.66048668424748,58.133913626984395,Enterprise,0.10094860586661004,249.2077005732835,2153904821.193585,8643010.694447601
Quantum Dynamics,QDYN,Technology,North America,2021-03-31,53862372.07411176,26801693.21121032,18471840.11526094,11414291.553545648,605646064.6072142,372817131.9105876,232828932.6966266,297286488.0624915,195021,645054,6672344.295338853,342.1346570543097,276.18669189733646,Direct,0.04222593755381774,566.8797268078645,3113723188.128131,5492740.418962771
Quantum Dynamics,QDYN,Technology,North America,2021-04-30,54291168.47774963,43314591.12763201,21136559.12876618,12340962.67271667,607217302.0723431,409179078.9191169,198038223.1532262,358660161.8221481,273042,876754,7375122.45323268,270.10945031287054,198.83763710173116,Enterprise,0.1294213237654304,956.1845658877987,3490111940.2450995,3650040.028626271
Quantum Dynamics,QDYN,Technology,North America,2021-05-31,57399592.42567043,44453797.96393792,25712606.572489392,17253630.86287294,326043200.0789369,198072422.15601578,127970777.92292109,177280150.93992653,507791,1560603,10424108.131371982,205.2834361257285,113.03780685643582,Direct,0.1288137712894544,1908.468358410451,4255105751.6796203,2229591.982978259
Quantum Dynamics,QDYN,Technology,North America,2021-06-30,56496298.62789381,32084945.30078227,12913637.8985982,8825878.938943343,314749877.4148006,95240930.68570262,219508946.72909796,67996996.50031248,411111,527769,6187337.5703438595,150.50284644156588,137.423279080419,Partners,0.13460074785445927,420.98090910225466,1701586484.733923,4041956.4116638224
Quantum Dynamics,QDYN,Technology,North America,2021-07-31,59014236.64501172,36415198.21271624,15098342.060763422,10225351.83106584,307670825.9985041,98046721.84056064,209624104.15794346,79545332.91466764,278256,419677,7573679.932521081,272.18388579297766,212.0857886350683,Direct,0.04801600821476386,298.43098790967605,2890980503.8359404,9687266.473516928
Quantum Dynamics,QDYN,Technology,North America,2021-08-31,60183713.76769007,33976207.77873711,19699571.2203371,10667434.589460058,356842356.31214476,280038616.98989904,76803739.32224572,212072559.13711292,878846,2280854,6922818.885822093,78.77169476588723,68.4803825455441,Partners,0.020983893387917233,2438.5463657252953,2994917034.7430806,1228156.6907391176
Quantum Dynamics,QDYN,Technology,North America,2021-09-30,59373350.96083225,27464616.959446937,10988515.22579908,7304813.283160955,593862436.3997152,374191942.2410608,219670494.1586544,202051281.19507998,123774,489103,7905746.205489467,638.724304416878,479.68937629843737,Partners,0.11220550431865457,1489.2503497905666,2128801688.4895203,1429445.1492248392
Quantum Dynamics,QDYN,Technology,North America,2021-10-31,61144157.57045199,32819240.71291731,11050882.469136106,5837596.577869158,439008519.0649604,346709289.0088206,92299230.05613983,169078032.21105683,1059277,4293734,10457910.010687904,98.72686757748826,57.722495824287606,Enterprise,0.034248261787402125,379.9019497522653,1863291736.790942,4904664.843141757
Quantum Dynamics,QDYN,Technology,North America,2021-11-30,63597835.567836516,41360468.63037222,20732121.16503349,15693115.93175772,611229602.7521619,233164053.39546522,378065549.3566966,101492668.95164856,187555,207444,8768000.643014362,467.4895706866979,339.088675192842,Online,0.12213290125553594,436.515288385123,3096864296.7303696,7094515.081446836
Quantum Dynamics,QDYN,Technology,North America,2021-12-31,65077551.32805408,47393103.57304349,26084020.51815325,19462019.447048664,622166992.4004159,250946191.0004847,371220801.3999312,134753227.09191257,444018,1114057,3634221.3528258526,81.84851408784897,146.56510386876835,Partners,0.10562094827828994,3338.8929846673186,5478114495.053576,1640697.8361420608
Quantum Dynamics,QDYN,Technology,North America,2022-01-31,66189190.67560331,29604169.992881164,17131781.191383738,11798363.965567557,737500090.2889502,492307507.67376435,245192582.61518586,394702850.2200868,374128,639668,10761846.971821776,287.65147147023947,176.9155576570879,Enterprise,0.09062944053613183,329.98471004350625,2502877861.522312,7584829.797696762
Quantum Dynamics,QDYN,Technology,North America,2022-02-28,72082021.35734639,53834215.66301893,28249325.770399664,16146723.011203341,703442208.3978816,471274188.7503846,232168019.647497,244646950.2277531,327678,1028027,8973071.220674364,273.83807337307854,219.9779987793327,Direct,0.05480694414428564,327.74550799780434,2969278947.0236936,9059709.056465805
Quantum Dynamics,QDYN,Technology,North America,2022-03-31,74460582.33638628,58081099.86345675,39509253.411915384,26551457.557314645,701631679.0016662,367811295.9637134,333820383.0379528,201047635.3498782,376255,1388408,12126365.956368452,322.29115776184904,197.89904541646217,Online,0.11938144706596834,3905.369650051416,7893460567.718354,2021181.4181570322
